NODE;A;360;150
NODE;B;350;205
NODE;C;425;215
NODE;D;285;255
NODE;E;415;285
NODE;F;510;310
NODE;H;745;385
NODE;I;840;330
NODE;J;930;300
NODE;K;940;280
NODE;M;400;380
NODE;N;475;400
NODE;O;820;490
NODE;P;850;420
NODE;Q;970;440
NODE;R;1110;380
NODE;S;1195;515
NODE;T;395;635
NODE;U;635;590
NODE;V;740;645
NODE;W;950;710
NODE;X;1140;575
NODE;Y;1200;640
NODE;Z;1420;640
NODE;V1;130;230
NODE;1;340;270
NODE;2;430;155
NODE;3;215;250
NODE;4;240;130
NODE;5;140;110
NODE;6;310;145
NODE;7;190;335
NODE;8;275;350
NODE;9;265;485
NODE;TATICO;180;450
NODE;11;100;430
NODE;12;110;560
NODE;13;255;595
NODE;14;400;520
NODE;15;420;650
NODE;16;490;550
NODE;17;560;420
NODE;18;720;470
NODE;CALLE;1062;627
NODE;cALLESITA;1189;374
NODE;cALLESOTA;1225;207
NODE;Casita;1202;277
NODE;jh;777;557

EDGE;E;C;true
EDGE;E;1;true
EDGE;E;D;true
EDGE;E;F;true
EDGE;E;B;true
EDGE;E;N;true
EDGE;2;C;true
EDGE;2;4;true
EDGE;2;A;true
EDGE;4;6;true
EDGE;M;T;true
EDGE;M;D;true
EDGE;M;8;true
EDGE;M;14;true
EDGE;M;N;true
EDGE;CALLE;X;true
EDGE;8;7;true
EDGE;8;9;true
EDGE;13;9;true
EDGE;13;15;true
EDGE;18;P;true
EDGE;18;O;true
EDGE;18;17;true
EDGE;Q;P;true
EDGE;Q;J;true
EDGE;Q;W;true
EDGE;Q;I;true
EDGE;Q;R;true
EDGE;14;T;true
EDGE;14;9;true
EDGE;14;16;true
EDGE;16;17;true
EDGE;P;O;true
EDGE;P;H;true
EDGE;P;V;true
EDGE;Z;Y;true
EDGE;J;K;true
EDGE;J;I;true
EDGE;J;R;true
EDGE;C;F;true
EDGE;C;A;true
EDGE;C;B;true
EDGE;1;D;true
EDGE;1;B;true
EDGE;V1;5;true
EDGE;V1;3;true
EDGE;jh;O;true
EDGE;B;D;true
EDGE;B;A;true
EDGE;17;N;true
EDGE;R;K;true
EDGE;R;S;true
EDGE;R;I;true
EDGE;R;cALLESITA;true
EDGE;R;X;true
EDGE;15;T;true
EDGE;X;W;true
EDGE;X;S;true
EDGE;X;Y;true
EDGE;X;V;true
EDGE;6;5;true
EDGE;6;A;true
EDGE;H;I;true
EDGE;D;3;true
EDGE;F;O;true
EDGE;T;U;true
EDGE;7;11;true
EDGE;7;3;true
EDGE;S;Y;true
EDGE;W;Y;true
EDGE;W;V;true
EDGE;cALLESITA;cALLESOTA;true
EDGE;U;N;true
EDGE;U;V;true
EDGE;Casita;cALLESOTA;true
EDGE;O;N;true
EDGE;O;V;true
EDGE;11;12;true

META;start;4
